Label;Scope;Max;Value
1.1 Report class;Subtotal;5.00;5.00
1.1a Private attributes;Element;0.75;0.75
1.1b Public constructor and methods;Element;0.75;0.75
1.1c Attributes, constructor and toString();Element;1.00;1.00
1.1d Difficulty level: 1 to 4;Element;1.00;1.00
1.1e Difficulty level: <= 0;Element;0.75;0.75
1.1f Difficulty level: >= 5;Element;0.75;0.75
